 ,Area,Mean,Min,Max,Length,Length (mm),,,
16,50,148.447,124.231,159.554,49.097,0.072729831,,Conversion,675.06
17,39,118.259,96.029,151,38.288,0.056717921,,,
23,37,128.347,112.006,142.333,36.954,0.054741801,,,
1,37,131.531,102.119,167.412,36.679,0.05433443,,,
12,37,146.016,112.869,167.467,36.249,0.053697449,,Column1,
7,34,135.841,115.483,150.737,33.655,0.049854828,,,
30,34,106.679,71.601,154.414,33.424,0.049512636,,Mean,0.044634255
37,31,161.999,142.522,190.199,30.529,0.045224128,,Standard Error,0.002249678
15,29,154.921,143.942,168.657,29.926,0.044330874,,Median,0.042736942
13,30,128.053,111.828,134.992,29.682,0.043969425,,Mode,0.034676918
26,29,110.256,97.909,126.15,28.018,0.041504459,,Standard Deviation,0.010060865
31,26,151.111,137.697,160.531,25.71,0.038085504,,Sample Variance,0.000101221
21,26,127.537,116.799,152.805,25.554,0.037854413,,Kurtosis,1.549734517
2,25,143.13,117.006,160.224,24.756,0.036672296,,Skewness,1.21841165
22,25,148.607,137,165.777,24.739,0.036647113,,Range,0.038052914
11,25,135.127,124.045,174.407,24.413,0.036164193,,Minimum,0.034676918
9,25,148.205,139.592,155.789,24.083,0.035675347,,Maximum,0.072729831
27,25,109.863,98.075,120.518,24.042,0.035614612,,Sum,0.892685095
14,24,139.103,133.553,151.675,23.409,0.034676918,,Count,20
33,24,147.22,138.344,165.976,23.409,0.034676918,,,0
19,24,127.288,117.686,147,23.367,0.034614701,,,
29,24,121.126,108.653,135.333,23.087,0.034199923,,,
20,24,147.187,133.53,167.607,23.022,0.034103635,,,
39,23,148.205,130.841,177.861,22.804,0.033780701,,,
18,23,119.585,101.538,129.856,22.472,0.033288893,,,
10,23,152.671,142.207,169.333,22.416,0.033205937,,,
25,22,145.858,132.858,159.783,21.954,0.032521554,,,
35,22,132.757,125.058,140.827,21.587,0.031977898,,,
28,21,119.635,113.355,134.742,20.809,0.030825408,,,
38,21,162.447,152.306,185.788,20.616,0.030539508,,,
40,21,165.781,146.056,177.667,20.224,0.029958818,,,
32,20,155.612,145.168,179.088,19.925,0.029515895,,,
24,20,144.017,128.253,164,19.416,0.028761888,,,
34,20,125.163,113.536,141.532,19.416,0.028761888,,,
36,20,155.041,142.48,181.563,19.209,0.028455248,,,
5,18,126.593,114.208,138.967,17.804,0.026373952,,,
4,18,113.692,104.349,123.418,17.233,0.025528101,,,
6,16,126.888,110.582,139.407,15.62,0.023138684,,,
8,14,144.93,138.74,152.677,13.892,0.020578912,,,
3,14,151.49,136.9,161.107,13.601,0.020147839,,,
