 ,Area,Mean,Min,Max,Length,Length (mm),,,,
106,102,109.312,44.333,165.958,101.951,0.14905117,,,,
107,91,111.841,64.75,152.104,90.372,0.132122807,,,,
108,36,90.981,63.2,132.304,36.254,0.053002924,,,,
109,38,94.887,60.694,168.26,37.158,0.054324561,,,,
110,239,119.17,63.098,255,238.647,0.348899123,,,,
111,105,111.033,41.566,165.154,104.505,0.152785088,,,,
112,7,67.811,35.911,121,6.403,0.009361111,,,,
113,83,89.405,42.667,139.28,82.537,0.120668129,,,,
114,15,84.277,34.523,123.326,14.318,0.020932749,,,,
115,6,87.942,55.672,110.667,5.657,0.008270468,,,,
116,10,73.277,37.088,116.333,9.22,0.013479532,,,,
117,169,113.3,72.647,154.244,168.801,0.246785088,,,,
118,163,136.758,57.735,174.87,162.605,0.237726608,,,,
119,52,129.481,59.829,171.139,51.346,0.075067251,,,,
120,28,86.346,51.994,115.932,27.86,0.040730994,,,,
121,112,123.914,80.812,255,111.54,0.163070175,,,,
122,110,135.26,24.62,255,111.042,0.162342105,,,,
123,65,133.08,78.555,255,64.309,0.094019006,,,,
124,40,120.305,81.333,255,39.053,0.057095029,,,,
125,55,91.278,24.333,138.116,54.856,0.08019883,,,,
126,220,131.525,65.142,255,219.483,0.320881579,,,,
127,132,132.491,72.158,158.312,134.357,0.196428363,,,,
128,84,130.119,98.993,167.986,83.22,0.121666667,,,,
129,21,96.836,49.606,126.576,20.1,0.029385965,,,,
130,252,128.737,74.65,164.645,252.414,0.369026316,,,,
131,56,114.585,73.457,148.547,55.951,0.081799708,,,,
132,332,137.17,96.634,171.85,331.301,0.484358187,,,,
133,318,135.708,51.007,195.458,317.529,0.464223684,,,,
134,36,118.066,73.043,135.981,35.473,0.051861111,,,,
135,21,91.725,74.164,117.368,20.4,0.029824561,,,,
136,452,162.762,77.087,255,451.609,0.660247076,,,,
137,114,167.191,98.462,187.358,113.282,0.165616959,,,,
138,44,93.45,32.333,118.836,43.8,0.064035088,,,,
139,102,110.903,14,255,101.535,0.148442982,,,,
140,159,156.8,106.078,187.974,159.147,0.232671053,,,,
141,65,119.69,30.592,154.124,64.603,0.09444883,,,,
142,51,90.461,33.345,123.877,50.177,0.073358187,,,,
143,458,175.258,63.271,255,457.29,0.668552632,,,,
144,143,128.069,85.286,149.561,142.232,0.20794152,,,,
145,188,142.873,54.223,180.812,187.42,0.274005848,,,,
146,44,60.453,40.23,87.106,44.495,0.06505117,,,,
147,11,69.682,44.333,94.667,10,0.014619883,,,,
148,94,128.292,41.48,162.067,93.48,0.136666667,,,,
149,67,139.948,91.023,255,66.508,0.097233918,,,,
150,17,95.963,76.412,129.922,16.643,0.024331871,,,,
151,161,132.224,17.667,236.139,160.251,0.234285088,,,,
152,20,102.565,70.134,135.667,19.026,0.027815789,,,,
153,36,89.223,61.866,126,35.195,0.051454678,,,,
154,36,146.341,57.333,171.953,35.468,0.051853801,,,,
155,333,167.337,99.479,255,332.11,0.485540936,,,,
156,72,153.37,72.667,255,71.69,0.104809942,,,,
157,28,67.868,46.667,93.424,27.751,0.040571637,,,,
158,20,95.835,55.259,127.72,19.647,0.028723684,,,,
159,52,148.325,76.333,172.069,51.787,0.075711988,,,,
160,180,148.291,61.239,255,179.436,0.262333333,,,,
161,22,78.453,27.973,116.502,21.941,0.032077485,,,,
