 ,Area,Mean,Min,Max,Length,Length (mm),,,
39,140,143.065,84.374,167.525,139.422,0.203762731,,Conversion,684.237
36,127,163.939,134.352,181.153,126.236,0.184491631,,,
9,125,149.828,127,165.378,125.773,0.183814965,,,
38,122,137.078,101.13,157.704,122.732,0.179370598,,,
12,118,146.198,107.281,165.626,118.336,0.172945924,,Column1,
34,113,148.457,103.362,172.511,114.339,0.16710438,,,
31,115,151.781,103.55,176.387,114.147,0.166823776,,Mean,0.160392013
3,112,151.099,105.563,166.84,112.417,0.164295412,,Standard Error,0.003876754
13,109,142.588,102.667,158.042,109.598,0.160175495,,Median,0.155005502
20,106,152.662,110.922,169.454,106.111,0.155079307,,Mode,#N/A
7,105,151.835,112.064,176.488,106.01,0.154931698,,Standard Deviation,0.01733737
30,105,154.861,95.61,181.576,105.245,0.153813664,,Sample Variance,0.000300584
21,105,155.374,92,175.657,105.143,0.153664593,,Kurtosis,0.393751322
10,100,141.556,100.853,156.823,100.798,0.147314454,,Skewness,0.940672223
17,100,144.069,112.764,160.49,100.031,0.146193497,,Range,0.063416623
33,99,136.716,105.333,170.269,99.376,0.145236227,,Minimum,0.140346108
15,99,143.201,112.084,181.951,98.855,0.144474795,,Maximum,0.203762731
25,98,147.439,105.524,170.397,97.531,0.142539792,,Sum,3.207840266
37,97,137.517,101.014,157.759,96.793,0.141461219,,Count,20
35,96,149.915,113.667,169.648,96.03,0.140346108,,,0
6,94,148.006,112.337,170.157,93.666,0.136891165,,,
11,91,156.8,119.075,175.084,90.801,0.132704019,,,
16,89,104.425,61.19,143.495,88.528,0.129382071,,,
8,87,134.407,78.884,173.897,86.551,0.126492721,,,
2,86,139.269,91.584,159.788,86.444,0.126336343,,,
18,86,150.941,125,163.318,85.559,0.125042931,,,
5,86,142.002,107.667,161.11,85.454,0.124889475,,,
22,86,153.363,126.065,164.688,85.389,0.124794479,,,
28,85,174.323,143,190.229,84.805,0.123940974,,,
23,82,150.654,125.674,165.978,81.54,0.119169235,,,
1,80,142.47,110,168.224,80.086,0.117044241,,,
29,78,153.744,131.827,170.12,78.646,0.114939707,,,
40,78,154.212,117.992,170.545,77.201,0.112827865,,,
4,75,149.09,107.184,164.641,74.819,0.109346615,,,
32,74,150.244,91.667,172.006,73.335,0.107177776,,,
14,74,150.447,115,172.295,73.124,0.106869403,,,
27,69,135.039,94.267,155.059,68.137,0.099580993,,,
26,68,148.617,104.48,165.345,67.913,0.099253621,,,
19,58,136.807,100.187,159.611,57.601,0.08418282,,,
24,58,143.68,113.088,157.416,57.544,0.084099515,,,
