 ,Area,Mean,Min,Max,Length,Length (mm),,,
15,133,134.86,99.04,158.172,132.547,0.192089863,,Conversion,690.026
14,125,136.015,68.469,175.592,124.467,0.18038016,,,
37,121,119.213,55.06,149.828,120.965,0.175304989,,,
4,111,111.683,63.872,134.082,110.998,0.160860605,,,
1,108,139.921,73.152,160.666,107.967,0.156468017,,Column1,
7,95,146.203,67,175.008,95.46,0.138342613,,,
36,95,124.846,42.652,159.877,94.974,0.137638292,,Mean,0.134650433
13,95,111.352,85.954,133.626,94.916,0.137554237,,Standard Error,0.005766077
35,91,127.368,74.6,147.171,90.854,0.131667502,,Median,0.127958946
31,90,118.32,68.687,135.724,89.178,0.129238608,,Mode,#N/A
9,87,85.495,56.77,113.271,87.412,0.126679285,,Standard Deviation,0.025786678
33,86,137.834,78.834,167.529,85.454,0.12384171,,Sample Variance,0.000664953
30,85,89.473,60.667,120.171,84.889,0.123022901,,Kurtosis,-0.009268465
39,83,111.75,71.152,134.301,82.987,0.120266483,,Skewness,0.92561468
10,81,134.44,70.514,150.033,82.015,0.11885784,,Range,0.087495254
34,79,113.21,60.192,148.95,78.776,0.114163814,,Minimum,0.104594609
8,77,120.507,79.072,137.942,76.996,0.111584201,,Maximum,0.192089863
38,73,89.465,50.483,112.578,72.792,0.105491677,,Sum,2.693008669
5,73,129.154,75.81,150.999,72.426,0.104961262,,Count,20
6,73,119.627,35.333,175.277,72.173,0.104594609,,,0
17,70,109.455,59.489,144.549,69.848,0.101225171,,,
12,70,131.632,86.75,146.052,69.686,0.100990397,,,
27,69,114.818,49.878,146.847,68.675,0.099525235,,,
16,65,136.821,85,165.333,64,0.092750128,,,
24,64,111.954,76.333,136.428,63.781,0.092432749,,,
28,64,109.185,87.667,124.69,63.187,0.091571912,,,
22,63,97.964,55.11,124.799,62.346,0.090353117,,,
40,60,131.067,69.405,170.954,59.414,0.086104002,,,
20,60,123.033,64.438,151.413,59.373,0.086044584,,,
23,59,129.105,79.85,160.332,58.887,0.085340263,,,
25,59,93.135,45.55,140.184,58.824,0.085248962,,,
18,58,129.976,69.634,162.892,57.559,0.083415697,,,
26,58,109.646,65.603,139.207,57.138,0.082805575,,,
19,57,138.676,92.81,159.105,57.011,0.082621524,,,
29,57,113.132,74.989,156.553,56.286,0.081570839,,,
11,56,84.986,56.477,138.222,55.843,0.080928835,,,
2,56,105.504,68.462,132.346,55.644,0.08064044,,,
21,55,105.611,43.415,151.709,54.129,0.07844487,,,
3,52,90.633,59.931,124.904,51.912,0.075231948,,,
32,52,123.309,82.698,148.831,51.596,0.074773994,,,
