 ,Area,Mean,Min,Max,Length,Length (mm),,,
13,847,169.007,55.301,192.628,846.79,1.234569521,,Conversion,685.899
36,834,157.786,112.895,190.779,833.244,1.214820258,,,
14,819,138.027,30.969,173.108,818.656,1.19355182,,,
32,801,142.805,58.11,178.695,800.426,1.166973563,,,
3,757,149.84,57.969,193.937,756.272,1.102599654,,Column1,
5,751,140.025,76.862,190.504,750.314,1.093913244,,,
6,738,166.639,44.667,202.28,738.206,1.076260499,,Mean,1.011332718
8,734,140.277,73.705,204.25,733.794,1.069828065,,Standard Error,0.029244342
38,730,174.856,86.449,218.009,729.913,1.064169798,,Median,1.008192897
18,723,163.539,83.343,189.898,722.315,1.053092365,,Mode,#N/A
37,661,156.876,48.386,205.843,660.722,0.963293429,,Standard Deviation,0.130784675
7,649,145.402,88.763,184.744,648.477,0.945440947,,Sample Variance,0.017104631
11,640,152.667,92.194,174.387,639.332,0.93210808,,Kurtosis,-1.323944346
1,631,170.625,107.204,206.831,630.974,0.919922613,,Skewness,0.284781139
4,613,169.467,76.509,192.427,612.511,0.893004655,,Range,0.379325528
33,597,146.234,67.249,185.992,596.585,0.869785493,,Minimum,0.855243994
17,591,134.131,66.702,169.486,591.037,0.861696839,,Maximum,1.234569521
35,591,156.197,80.26,189,590.632,0.861106373,,Sum,20.22665436
21,587,124.883,50.667,175.431,586.631,0.855273152,,Count,20
15,587,157.207,59.533,180.111,586.611,0.855243994,,,0
9,585,176.632,50.674,204.134,584.42,0.852049646,,,
12,580,133.079,68.541,165.77,579.744,0.845232316,,,
2,572,176.682,107.42,207.959,571.197,0.832771297,,,
23,569,123.379,78.141,154.615,568.107,0.828266261,,,
27,560,134.968,47.573,188.199,559.184,0.815257057,,,
34,560,145.859,73.969,182.884,559.059,0.815074814,,,
19,553,155.875,80.036,181.44,552.462,0.80545678,,,
10,548,155.078,79.934,178.871,547.802,0.798662777,,,
39,545,181.268,66.333,212.964,544.654,0.79407318,,,
28,544,151.894,67.972,192.431,543.09,0.791792961,,,
31,535,139.618,56.378,184.763,535.644,0.780937135,,,
20,534,127.437,58.493,153.687,533.436,0.777718002,,,
30,527,135.737,46.04,190.718,526.588,0.767734025,,,
40,525,148.32,29.501,192.249,524.242,0.764313696,,,
22,523,143.412,55.615,184.134,522.823,0.762244879,,,
25,494,111.908,50.667,160.737,493.335,0.719253126,,,
16,485,136.742,63,161.185,484.149,0.705860484,,,
24,476,139.85,54.721,180.43,475.823,0.69372167,,,
29,467,151.159,77,192.177,466.248,0.679761889,,,
26,446,132.176,59.75,159.667,445.142,0.648990595,,,
