 ,Area,Mean,Min,Max,Length,,,
1,292,171.189,106.025,202.822,291.556,,,
2,70,147.639,80,169.017,69.531,,Pollen Grains,123
3,159,169.506,115.643,185.698,158.664,,px/mm,651.007
4,151,172.092,130.091,202.6,150.595,,,
5,106,128.466,79.36,160.082,106.169,,,
6,200,159.949,73.667,191.601,199.624,,,
7,175,129.415,62.099,166.927,174.97,,,
8,152,105.644,40.527,164.774,151.964,,,
9,56,116.301,100.35,161.311,55.388,,,
10,200,178.344,88.237,215.931,199.089,,,
11,168,162.461,100.475,184.242,168.243,,,
12,59,121.295,61.637,155.806,59.037,,,
13,179,150.141,110.353,178.724,178.281,,,
14,268,153.261,78.65,181.007,268.092,,,
15,34,110.72,100.019,122.57,34.369,,,
16,19,86.397,63.251,112.456,18.111,,,
17,193,134.308,101.116,170.16,192.846,,,
18,156,136.353,85.296,166.711,155.647,,,
19,179,138.602,36.031,180.566,178.184,,,
20,81,134.129,95.073,181.842,80.593,,,
21,111,164.705,109.462,183.617,110.881,,,
22,270,190.895,131.459,211.346,269.289,,,
23,186,139.736,84.55,163.849,186.419,,,
24,134,109.399,43.229,164.923,134.35,,,
25,102,131.308,84.001,170.695,102.107,,,
26,34,87.817,71.929,113.862,33.242,,,
27,86,170.13,137,183.079,86.116,,,
28,46,136.557,85.333,158.076,45.475,,,
29,52,121.897,92.333,139.552,51.935,,,
