 ,Area,Mean,Min,Max,Length,,,
1,63,148.96,123.333,175.998,63.548,,,
2,71,133.587,97.23,159.032,70.734,,Pollen Grains,309
3,65,142.533,94.619,173.795,64.988,,px/mm,651.007
4,115,135.862,68.667,199.325,115.113,,,
5,57,150.684,113.333,164.221,56.34,,,
6,92,137.796,58.357,186.483,91.242,,,
7,41,133.905,111.393,167.732,40.856,,,
8,132,136.171,81.927,154.319,131.534,,,
9,67,145.162,110.401,169.318,66.792,,,
10,243,140.948,111.72,169.164,242.818,,,
11,86,152.716,110.603,184.884,86.111,,,
12,55,126.274,88.333,145.417,54.906,,,
13,192,140.443,111.296,171.513,191.969,,,
14,79,131.613,96.75,178.802,78.648,,,
15,111,137.017,91.333,164.416,110.804,,,
16,137,152.354,110.951,192.628,136.98,,,
17,332,162.85,101.714,192.067,331.553,,,
18,137,158.096,117.667,200.333,136.205,,,
19,140,149.328,80.667,180.019,139.357,,,
20,176,146.616,108.667,171.59,175.414,,,
21,70,147.533,124,171.843,69.741,,,
22,71,133.721,87.378,162.845,70.902,,,
23,93,150.796,98.608,185.371,93.012,,,
24,128,145.315,80.934,177.285,127.483,,,
25,123,178.698,122.333,206.388,122.972,,,
26,187,140.325,95.75,175.231,186.789,,,
27,116,138.581,56.525,255,115.843,,,
28,103,145.7,84.711,172.641,102.49,,,
29,94,164.414,104,208.003,93.83,,,
30,417,197.696,113,234.979,417.084,,,
31,111,173.103,152.786,190.858,111.209,,,
32,149,173.356,120.811,201.028,149.115,,,
33,174,158.695,132.636,195.577,173.719,,,
34,363,193.856,115,226.033,362.882,,,
35,131,167.353,97.969,206.57,130.544,,,
36,143,166.833,129.581,191.725,142.989,,,
37,199,180.523,98.667,215.692,199.19,,,
38,93,173.239,137.333,215.791,92.529,,,
39,175,154.635,90.29,206.811,174.962,,,
