 ,Area,Mean,Min,Max,Length,,,
1,122,109.088,66.359,138.211,121.996,,,
2,232,150.745,78.991,209.01,231.547,,Pollen Grains,346
3,303,148.352,81.667,173.605,302.307,,px/mm,651.007
4,183,160.939,96,181.686,182.836,,,
5,127,145.386,68.5,171.746,126.843,,,
6,295,159.934,115.333,185.902,295.195,,,
7,200,149.199,124.629,173.809,199.944,,,
8,290,157.553,94.461,190.681,289.916,,,
9,97,115.662,55,164.808,96.869,,,
10,86,83.811,68.151,100.395,86.021,,,
11,80,135.69,75,169.833,80.083,,,
12,141,149.787,102.841,180.587,141.034,,,
13,232,137.868,75.698,173.826,232.287,,,
14,108,158.142,101.667,219.982,108.134,,,
15,93,168.913,132.317,197.201,92.932,,,
16,176,164.836,112.667,202.87,175.534,,,
17,207,151.191,97.667,180.546,206.351,,,
18,193,147.356,64.667,255,192.429,,,
19,106,164.774,132.264,184.8,107.321,,,
20,114,130.584,84.331,162.078,114.183,,,
21,91,117.697,78.722,144.667,91.563,,,
22,239,159.002,129.32,185.727,238.974,,,
23,116,125.685,61.353,160.074,116.192,,,
24,155,131.678,87.821,169.612,155.081,,,
25,269,152.894,122.653,192.133,268.114,,,
26,67,118.546,81.788,148.115,66.911,,,
27,58,87.162,48.001,138.427,57.583,,,
28,81,129.315,98.287,148.516,80.465,,,
29,106,105.539,68.333,139.887,106.084,,,
30,87,119.017,90.121,147.759,86.59,,,
31,77,127.678,96,148.015,76.775,,,
32,148,119.308,82.413,165.072,147.273,,,
33,354,151.369,95,189,353.461,,,
34,56,159.594,93,176.799,55.167,,,
35,119,154.847,129,192.138,119.298,,,
36,63,118.747,82.497,148.591,63.307,,,
37,90,152.794,99.893,183.451,90.251,,,
38,168,136.237,72,178.589,167.673,,,
39,138,164.306,120.667,196.642,138.772,,,
40,176,120.878,44.942,157.52,175.854,,,
41,299,187.09,146.634,210.598,299.145,,,
42,190,167.168,120.011,203.091,189.387,,,
43,143,78.019,58.585,119.354,143.642,,,
44,189,165.852,78.456,198.48,188.574,,,
45,225,180.165,140.321,227.459,224.468,,,
46,247,176.224,142.944,209.835,248.623,,,
