 ,Area,Mean,Min,Max,Length,,,
1,24,109.695,85.798,128.305,23.022,,,
2,19,85.616,69.885,117.333,18.028,,Pollen grains,225
3,14,93.762,69.263,109,13.601,,px/mm,618.007
4,15,101.844,81.667,118,14,,,
5,29,111.094,73.563,129.185,28.869,,,
6,14,92.595,68.333,111,13,,,
7,17,104.173,91,112.679,16.763,,,
8,14,87.355,62.265,117.347,13.601,,,
9,28,120.772,72.392,137.997,27.893,,,
10,31,100.963,54.278,118.247,30.414,,,
11,38,111.386,50.581,131.158,37.995,,,
12,17,91.074,41.256,120.122,16.125,,,
13,28,128.313,100.678,155.369,27.345,,,
14,14,99.352,51.632,125.01,13.038,,,
15,21,145.641,80.325,204.98,20.881,,,
16,22,118.344,66.32,146.71,21.474,,,
17,22,113.137,80.266,136.039,21.633,,,
18,17,112.723,79.385,140.262,16.492,,,
19,18,93.575,46.442,122.99,17.117,,,
20,20,122.186,104.127,147.667,19.647,,,
21,16,144.504,93.352,169.534,15.232,,,
