 ,Area,Mean,Min,Max,Length,,,
1,43,122.368,83.364,146.24,42.682,,,
2,22,118.535,93.861,143.657,21.932,,Pollen grains,195
3,28,101.075,73,153.273,27.516,,px/mm,618.007
4,33,110.558,88.647,126.302,32.822,,,
5,22,99.237,76.667,140.401,21.932,,,
6,26,109.314,85.667,129.688,25.632,,,
7,21,90.812,59.493,118.618,20.591,,,
8,45,98.026,88.333,104.565,44.425,,,
9,53,125.395,89.034,143.214,52.193,,,
10,23,122.397,83.667,173.293,22.136,,,
11,22,118.68,88.883,170.01,21.095,,,
12,15,112.847,88.604,146.137,14.422,,,
13,18,106.16,81.675,157.309,17.72,,,
14,43,111.24,83.275,147.615,42.202,,,
15,19,87.869,66.451,111.255,18.788,,,
16,59,119.495,87.333,148.278,58.215,,,
17,36,104.087,74.285,124.117,35.735,,,
18,20,108.033,86.393,137.834,19.209,,,
19,60,121.969,96.295,143.142,59.625,,,
20,34,130.944,96,160.675,33.526,,,
21,46,119.974,101.419,138.723,45.545,,,
22,19,125.34,94.901,163.277,18.868,,,
23,15,98.174,80.333,116.923,14.142,,,
24,50,119.373,94,145.083,49.665,,,
25,22,123.783,104.333,133.911,21.22,,,
26,21,126.366,103.217,159.164,20.591,,,
27,25,102.069,96.26,116.358,24.698,,,
28,23,107.025,88.894,151.255,22.361,,,
29,17,121.767,93.763,184.336,16.279,,,
