 ,Area,Mean,Min,Max,Length,,,
1,28,95.945,72.624,118.012,28.854,,,
2,22,111.275,74.519,146.631,21.587,,Pollen grains,395
3,32,129.011,90.312,155.349,31.016,,px/mm,618.007
4,17,113,82.333,147,16,,,
5,24,108.259,74.791,151.102,23.345,,,
6,16,105.192,61.887,132.131,15.811,,,
7,14,109.945,78.585,132.508,13.342,,,
8,27,108.288,71.427,145.068,26.401,,,
9,22,102.447,62.418,140.859,21.024,,,
10,14,88.183,66.316,107.369,13.454,,,
11,26,105.047,54.882,130.12,25.495,,,
12,16,90.166,52.092,123.124,15.033,,,
13,33,123.407,78.182,139.466,32.558,,,
14,17,87.13,44.624,117.324,16.155,,,
15,37,83.87,32.125,110.65,36.77,,,
16,15,117.281,80.86,130.771,14.142,,,
17,59,147.373,117.452,167.985,58.117,,,
18,13,108.74,89.774,129.965,12.207,,,
19,23,122.674,74.498,145.333,22.145,,,
20,35,146.998,115.708,158.172,34.828,,,
21,15,104.046,80.499,126.354,14.142,,,
22,20,109.315,88.172,123.375,19.026,,,
23,37,127.736,66.333,158.667,36.728,,,
24,25,123.479,106.667,133.235,24.18,,,
25,32,111.997,56.57,146.518,31.58,,,
26,29,112.109,79.566,133.962,28.573,,,
27,43,134.386,108.015,166.859,42.892,,,
28,18,119.585,85.688,144.458,17.464,,,
29,39,136.283,102.378,161.325,38.601,,,
30,26,126.508,91.831,151.485,25.672,,,
31,26,137.047,112.045,151.832,25,,,
