 ,Area,Mean,Min,Max,Length
1,573,187.863,123.735,205.466,572.439
2,725,183.198,139.776,203.736,724.219
3,623,152.726,105.234,180.352,622.988
4,702,157.308,133.394,181.355,701.618
5,701,171.926,154.952,184.713,700.404
6,598,149.309,75.053,168.738,597.51
7,557,161.721,121.085,187.155,556.355
8,490,195.285,157.168,211.824,489.22
9,767,171.599,130.5,203.473,766.274
10,492,189.396,142.278,211.569,491.867
11,676,161.846,114.872,197.391,676.071
12,562,179.453,141.996,205.843,561.586
13,620,180.079,116.333,203.924,619.338
14,586,180.543,129.461,206.067,585.332
15,602,185.451,141.667,216.946,601.269
16,571,198.319,164,223.913,570.426
17,522,188.73,163.912,212.691,521.657
18,585,173.046,134.72,198.564,584.568
19,540,173.971,131.756,188.293,539.82
20,618,166.533,98.199,193.303,618.307
21,717,145.922,120,162.333,716.162
22,604,150.275,89.804,165.113,603.579
23,630,151.47,109.962,168.727,629.625
24,820,152.395,116.466,176.835,819.901
25,709,179.291,155.082,195.524,708.987
26,583,161.256,114.667,178.247,582.792
27,635,155.221,119.241,171.125,634.588
28,677,162.158,136.57,175.611,676.564
29,612,181.947,109.025,205.828,611.221
30,720,171.396,91.422,208.666,719.331
31,633,180.177,122.333,201.204,632.663
32,462,188.18,109.861,214.481,461.66
33,625,196.284,147.181,213.564,624.485
34,745,163.611,91.412,186.752,744.52
35,535,156.709,97.751,179.461,534.834
36,790,165.698,115,206.659,789.434
37,636,183.264,144.585,199.883,635.357
38,528,164.886,135.62,185.332,527.842
39,683,163.266,123.967,191.792,682.52
40,548,165.34,124.412,199.35,547.354
ruler,661,133.16,45.981,164.4,660.076
