 ,Area,Mean,Min,Max,Length
1,205,194.953,176.928,205.37,204.732
2,121,190.488,132.59,202.603,120.608
3,74,171.936,146.254,184.502,73.786
4,71,182.793,136.849,198.928,70.52
5,102,186.128,129.333,216.938,101.831
6,78,180.201,140.733,191.344,77.698
7,63,178.561,123.966,206.023,62.968
8,135,161.905,105.333,176.642,134.766
9,229,189.921,118.342,212.988,228.395
10,182,196.947,180.755,213.769,181.962
11,131,178.488,149.703,193.4,130.442
12,127,193.47,140.31,224.887,127.02
13,114,174.916,137.125,190.105,113.864
14,100,166.588,123.518,187.258,99.247
15,120,204.89,134.908,221.251,119.386
16,104,187.021,151.781,204.747,103.082
17,118,180.14,140.907,208.172,117.956
18,87,150.558,91.416,175.036,86.243
19,152,191.291,162.198,209.55,151.656
20,215,186.886,155.667,196.264,214.438
21,75,174.386,133.271,204.424,74.967
22,123,177.716,113.104,192.181,122.66
23,175,181.118,113.91,195.329,174.7
24,127,165.932,138.874,188.871,126.168
25,107,160.994,108.723,189.164,106.438
26,75,182.306,131.333,203.058,74.479
27,124,199.26,167.394,218.419,123.548
28,84,189.66,141.404,208.086,83.241
29,95,196.705,149.667,213.533,94.069
30,124,171.558,130,187.774,123.037
31,86,182.277,139.012,202.312,85.51
32,95,173.475,138.702,197.093,94.262
33,86,160.009,120.896,185.772,85.703
34,121,150.423,118,172.92,120.017
35,90,186.481,143.078,205.009,89.939
36,121,150.142,116.202,172.422,121.014
37,90,191.669,143.558,211.256,89.811
38,151,175.818,117.508,188.975,150.841
39,111,160.346,106,180.301,110.277
40,79,174.043,117.333,195.856,78.816
41,671,117.062,34.026,149.842,670.504
