 ,Area,Mean,Min,Max,Length
1,559,172.2,124.94,191.677,558.683
2,441,148.753,53.387,173.075,440.657
3,484,165.701,88.7,198.422,483.233
4,372,157.491,73.062,186.046,371.411
5,461,151.317,60.122,180.242,460.421
6,362,185.191,109.341,206.467,361.42
7,337,154.623,109.464,175.942,336.299
8,441,161.173,120.011,175.602,440.777
9,478,157.308,78.172,180.346,478.032
10,422,153.096,88.963,172.464,421.818
11,584,175.836,129.974,200.373,584.057
12,401,175.604,105.488,195.318,400.312
13,574,161.182,108.562,190.889,573.419
14,691,177.092,92.718,194.974,690.729
15,412,150.023,105.271,174.307,411.251
16,595,168.532,131.387,186.527,595.208
17,352,180.853,129.663,197.876,351.143
18,386,144.462,82.665,183.007,385.866
19,385,168.603,127.741,183.586,384.428
20,563,154.586,97.5,187.814,562.901
21,422,158.231,88.659,182.053,421.692
22,443,147.415,113.144,164.466,442.927
23,375,146.625,77.49,244.919,374.703
24,406,152.511,58.472,179.997,405.373
25,417,156.781,89.116,176.115,416.652
26,606,149.593,100.985,171.775,605.627
27,328,133.239,27.628,159.407,327.665
28,446,153.145,128.991,174.517,445.079
29,490,163.345,114.333,179.11,489.781
30,347,163.482,108.661,185.453,346.718
31,470,160.646,107.19,191.116,469.708
32,417,174.434,116.333,191.955,416.187
33,580,160.441,116.519,190.081,579.923
34,369,151.237,75.779,170.648,369.134
35,437,156.755,136.405,180.418,436.881
36,577,157.758,114.904,186.614,577.008
37,438,158.716,120.686,189.438,437.278
38,424,170.781,119.195,193.487,423.626
39,377,151.703,99.366,173.994,376.417
40,433,153.49,113.326,174.155,432.309
Ruler,679,110.363,49.08,138.073,678.047
