 ,Area,Mean,Min,Max,Length,Length (mm),,,
23,1127,161.954,127.333,184.791,1127.004,1.661206471,,Conversion,678.425
11,1046,168.948,120.38,206.811,1045.533,1.541118031,,,
15,971,161.321,108.517,187.039,970.77,1.430917198,,,
29,966,185.357,145.502,206.115,966.209,1.424194274,,,
5,962,154.549,135.627,168.481,961.385,1.417083686,,Column1,
19,948,178.035,144.837,199.756,948.062,1.397445554,,,
27,948,159.409,107.7,174.324,947.711,1.396928179,,Mean,1.349759001
7,930,168.522,119.093,189.843,929.739,1.37043741,,Standard Error,0.025757109
28,927,177.185,116.557,196.886,926.756,1.366040461,,Median,1.343044552
20,921,181.256,114.102,200.638,920.422,1.356704131,,Mode,#N/A
21,902,161.643,103.794,181.02,901.888,1.329384973,,Standard Deviation,0.115189294
26,889,176.629,129.333,191.865,888.571,1.309755684,,Sample Variance,0.013268573
1,888,165.833,137.27,179.592,887.607,1.308334746,,Kurtosis,1.596727897
35,876,155.067,118.699,173.959,875.872,1.291037329,,Skewness,1.010293372
18,870,168.376,148.738,185.285,869.244,1.281267642,,Range,0.459845967
4,867,152.604,85.058,165.756,866.664,1.277464716,,Minimum,1.201360504
2,826,159.979,105.312,170.753,825.798,1.217228139,,Maximum,1.661206471
31,824,176.553,135.884,200.373,823.982,1.214551351,,Sum,26.99518001
9,816,162.82,109.25,188.487,815.955,1.202719534,,Count,20
16,815,161.792,90.449,180.85,815.033,1.201360504,,,0
34,795,177.427,145.987,193.7,796.521,1.174073774,,,
13,785,166.875,123.259,178.723,784.372,1.15616612,,,
6,767,153.597,108.672,169.152,766.977,1.13052585,,,
17,767,166.253,117.846,189.82,766.785,1.130242842,,,
25,762,166.447,104.179,186.49,761.726,1.122785864,,,
24,759,157.604,110.22,171.729,758.81,1.118487674,,,
22,748,161.576,130.848,179.773,747.942,1.102468217,,,
32,735,166.846,144.409,191.796,734.576,1.082766702,,,
12,734,162.847,111,175.953,733.608,1.081339868,,,
30,733,191.157,157.333,210.397,732.54,1.079765634,,,
10,726,161.657,96.333,186.256,725.679,1.069652504,,,
8,723,171.756,102.564,202.416,722.627,1.065153849,,,
14,706,160.021,87.161,177.062,705.602,1.04005896,,,
3,705,159.264,123.108,168.634,704.351,1.038214983,,,
36,692,158.344,114.855,171.696,692.021,1.020040535,,,
38,689,176.548,118.492,196.557,688.266,1.014505656,,,
40,687,176.689,145.711,197.085,686.492,1.011890776,,,
39,656,188.833,120.067,213.927,655.5,0.966208498,,,
37,654,195.896,143.381,225.423,653.731,0.963600988,,,
33,649,155.039,135.28,167.97,648.186,0.955427645,,,
