 ,Area,Mean,Min,Max,Length,Length (mm),,,
34,619,153.465,95.241,167.272,618.645,0.900287268,,Conversion,687.164
17,544,158.39,97.608,175.364,543.932,0.791560675,,,
39,537,185.696,112.54,202.26,536.819,0.781209435,,,
28,536,181.762,150.681,196.474,535.238,0.778908674,,,
15,514,164.163,91.94,197.431,513.374,0.747090942,,Column1,
11,510,166.089,106.865,181.267,509.541,0.741512943,,,
19,492,181.687,102.732,201.394,491.212,0.714839543,,Mean,0.7153264
37,489,173.249,124.763,194.425,488.958,0.711559395,,Standard Error,0.013560852
26,483,159.889,103.767,170.232,482.819,0.702625574,,Median,0.697814496
24,480,151.943,85.564,168.256,480.013,0.698542124,,Mode,#N/A
38,479,169.427,128.046,192.741,479.013,0.697086867,,Standard Deviation,0.060645973
36,478,170.415,120.394,190.779,478.156,0.695839712,,Sample Variance,0.003677934
33,472,161.55,78.789,177.908,471.33,0.68590613,,Kurtosis,3.352189311
27,471,190.815,148.063,201.755,470.461,0.684641512,,Skewness,1.676804992
31,458,165.598,104.749,178.227,458.221,0.66682917,,Range,0.243205407
40,457,155.102,84.476,172.592,456.164,0.663835707,,Minimum,0.657081861
20,456,162.4,105.474,179.374,455.641,0.663074608,,Maximum,0.900287268
21,456,168.225,123.212,189.799,455.258,0.662517245,,Sum,14.30652799
2,455,150.548,107.721,164.33,454.613,0.661578604,,Count,20
14,452,157.055,103.667,166.325,451.523,0.657081861,,,0
18,452,167.044,140.293,182.593,451.155,0.656546327,,,
22,443,179.988,126.983,194.753,442.466,0.643901601,,,
7,429,150.256,113.333,157.181,429.091,0.624437543,,,
13,427,170.704,104.774,187.904,427.057,0.621477551,,,
25,427,159.025,115.029,171.533,426.838,0.62115885,,,
35,423,160.694,68.029,177.484,422.757,0.615219947,,,
16,417,160.168,95.718,181.015,417.033,0.606890058,,,
5,417,157.962,111.975,168.76,416.271,0.605781153,,,
30,414,156.129,87.989,168.192,413.922,0.602362755,,,
8,411,154.906,77.632,165.915,410.679,0.597643357,,,
3,407,156.186,113.78,167.882,407.155,0.592515033,,,
1,407,157.927,98.422,171.214,406.105,0.590987013,,,
32,405,144.91,91.976,168.489,405.125,0.589560862,,,
29,397,168.177,134.117,179.21,397.081,0.577854777,,,
23,397,170.952,123.333,183.296,396.91,0.577605928,,,
6,387,148.184,102.793,163.761,386.176,0.561985203,,,
4,386,157.186,107.051,166.276,386.07,0.561830946,,,
10,377,172.144,130.667,188.82,376.519,0.547931789,,,
12,375,168.726,122.355,182.201,375,0.545721254,,,
9,345,170.74,85.601,187.93,345.028,0.502104301,,,
