 ,Area,Mean,Min,Max,Length,Length (mm),,,
36,58,107.807,76.916,132.206,58.757,0.087289101,,Conversion,673.131
13,46,135.302,94.49,156.113,45.1,0.067000331,,,
8,43,101.75,81.667,125.911,42.277,0.062806497,,,
7,40,112.238,87.333,131.367,41.564,0.061747268,,,
37,35,131.438,114.354,154.024,34.537,0.051307992,,Column1,
20,31,108.276,85.135,140.264,30.883,0.045879628,,,
29,30,147.438,137.537,159.871,29.476,0.043789396,,Mean,0.046280813
19,29,140.805,123.453,159.998,28.854,0.042865356,,Standard Error,0.003017501
11,29,100.136,76.475,128.287,28.444,0.042256262,,Median,0.041618199
18,29,159.075,142.514,170.015,28.106,0.041754131,,Mode,#N/A
17,28,121.746,113.025,137.981,27.923,0.041482267,,Standard Deviation,0.013494673
14,27,102.327,81.68,139.003,27.332,0.040604281,,Sample Variance,0.000182106
15,27,123.32,118.44,128.247,26.946,0.040030841,,Kurtosis,3.47095818
3,26,130.248,116.425,144.861,26.131,0.038820081,,Skewness,1.873856406
1,25,97.024,72.193,129.963,26.076,0.038738373,,Range,0.053212525
16,26,127.09,106.33,151.122,25.168,0.037389453,,Minimum,0.034076576
39,24,126.377,113.117,140.027,24.437,0.036303483,,Maximum,0.087289101
10,25,126.194,112.72,136.635,24.083,0.035777583,,Sum,0.925616262
25,25,117.366,101,127.135,24.029,0.035697361,,Count,20
23,23,122.73,101.125,154.056,22.938,0.034076576,,,0
12,23,121.836,109.06,140.864,22.56,0.033515022,,,
27,22,120.725,108.667,134.667,22,0.032683088,,,
32,22,72.161,51.367,98.465,21.84,0.032445393,,,
6,21,127.741,99.121,142.934,20.591,0.030589885,,,
5,21,114.735,90.515,140,20.518,0.030481437,,,
22,20,111.018,90.116,132.25,19.925,0.029600479,,,
28,20,116.741,101.029,145.333,19.698,0.029263249,,,
2,20,110.653,94.447,136.667,19.434,0.028871052,,,
24,20,104.582,81.537,135.281,19.434,0.028871052,,,
30,20,122.621,101.094,138.718,19.418,0.028847282,,,
26,19,127.491,122.667,132.478,18.904,0.028083687,,,
9,19,129.759,122.667,137.2,18.616,0.027655835,,,
21,19,111.01,89.333,135.492,18.071,0.026846186,,,
35,19,107.621,79.997,128.667,18.028,0.026782305,,,
4,18,133.96,128.185,141.949,17.814,0.026464388,,,
38,18,113.314,92.429,141,17.464,0.02594443,,,
34,17,99.004,67.189,135.436,16.224,0.024102292,,,
40,15,114.212,89.145,140.333,14.866,0.022084854,,,
33,15,81.615,64.514,106.333,14.765,0.021934809,,,
31,14,122.196,112.817,132.732,13.892,0.020637885,,,
